Designator,Mid X,Mid Y,Rotation,Layer
C1,162.9,-68.9375,180.0,top
C2,162.95,-60.8375,0.0,top
C3,168.35,-64.1,90.0,top
C4,171.4,-59.8,0.0,top
C5,168.65,-84.35,90.0,top
C6,160.05,-75.75,90.0,top
C7,162.9,-75.95,270.0,top
D1,151.4,-86.9,90.0,top
J6,171.23,-88.85,270.0,top
Q1,156.25,-87.75,180.0,top
R1,171.36,-53.7,0.0,top
R2,171.35,-57.05,0.0,top
R4,160.8,-88.35,90.0,top
R8,177.15,-71.95,0.0,top
TP4056,169.0875,-61.0375,180.0,top
U1,161.95,-64.8,0.0,top
U2,174.85,-78.8,0.0,top
nRF24L01+,167.1,-80.95,0.0,top
